prps6camp_epac 2 -> _reaction91 0 1 @ Inf
sf1 0 -> sf1betacateninpromoter 7 3 @ Inf
betacatenin 0 -> sf1betacateninpromoter 7 5 @ Inf
promoter 0 -> sf1betacateninpromoter 7 6 @ Inf
p85 1 -> p85p110fsh_fshr 1 5 @ Inf
p110 1 -> p85p110fsh_fshr 1 3 @ Inf
fsh_fshr 0 -> p85p110fsh_fshr 1 0 @ Inf
foxo1 1 -> foxo1pakt 1 3 @ Inf
pakt 0 -> foxo1pakt 1 0 @ Inf
foxo1a 1 -> foxo1apsrc 1 3 @ Inf
psrc 0 -> foxo1apsrc 1 0 @ Inf
ap1 1 -> ap1promoterperk 1 5 @ Inf
promoter 1 -> ap1promoterperk 1 3 @ Inf
perk 0 -> ap1promoterperk 1 0 @ Inf
mdm2fsh_fshr 0 -> _reaction74 1 0 @ Inf
mdm2fsh_fshr 1 -> _reaction74 1 0 @ Inf
mdm2fsh_fshr 2 -> _reaction74 1 0 @ Inf
perkcamp 2 -> _reaction87 0 1 @ Inf
fsh_fshr 1 -> fsh_fshrgas_gtpd14_3_3tau_fsh_fshr 0 4 @ Inf
gas_gtp 1 -> fsh_fshrgas_gtpd14_3_3tau_fsh_fshr 0 2 @ Inf
d14_3_3tau_fsh_fshr 1 -> fsh_fshrgas_gtpd14_3_3tau_fsh_fshr 0 1 @ Inf
pka 1 -> pkacamp 1 3 @ Inf
camp 0 -> pkacamp 1 0 @ Inf
pip2 1 -> pip2mod_1_p85_1_p110 1 3 @ Inf
mod_1_p85_1_p110 0 -> pip2mod_1_p85_1_p110 1 0 @ Inf
_reaction27 1 -> p110_p85 1 0 @ Inf
_reaction59 1 -> p110_p85 1 0 @ Inf
_reaction88 1 -> p110_p85 1 0 @ Inf
_reaction128 1 -> p110_p85 1 0 @ Inf
_reaction164 1 -> p110_p85 1 0 @ Inf
paktgtp_ras 0 -> _reaction148 1 0 @ Inf
paktgtp_ras 1 -> _reaction148 1 0 @ Inf
paktgtp_ras 2 -> _reaction148 1 0 @ Inf
p85 0 -> p85p110camp 7 3 @ Inf
p110 0 -> p85p110camp 7 5 @ Inf
camp 0 -> p85p110camp 7 6 @ Inf
tuberin 1 -> tuberinpakt 1 3 @ Inf
pakt 0 -> tuberinpakt 1 0 @ Inf
erkbeta_arrestin_fsh_p_1fshr 3 -> _reaction177 0 1 @ Inf
ampkpakt 0 -> _reaction71 1 0 @ Inf
ampkpakt 1 -> _reaction71 1 0 @ Inf
ampkpakt 2 -> _reaction71 1 0 @ Inf
ap1 1 -> ap1promoterpp38mapk 3 7 @ Inf
promoter 0 -> ap1promoterpp38mapk 3 1 @ Inf
pp38mapk 0 -> ap1promoterpp38mapk 3 2 @ Inf
_reaction60 1 -> pmtor 0 1 @ Inf
_reaction65 1 -> pmtor 0 1 @ Inf
_reaction119 1 -> pmtor 0 1 @ Inf
adam17 0 -> adam17fsh_fshr 3 1 @ Inf
fsh_fshr 0 -> adam17fsh_fshr 3 2 @ Inf
akt 0 -> aktpip3 3 1 @ Inf
pip3 0 -> aktpip3 3 2 @ Inf
akt 0 -> aktgtp_modrap1 2 0 @ Inf
gtp_modrap1 1 -> aktgtp_modrap1 2 3 @ Inf
p110_p85camp 0 -> _reaction164 1 0 @ Inf
p110_p85camp 1 -> _reaction164 1 0 @ Inf
p110_p85camp 3 -> _reaction164 1 0 @ Inf
mekfsh_fshr 3 -> _reaction134 0 1 @ Inf
erk 1 -> erkmodgrk5_6 0 2 @ Inf
modgrk5_6 1 -> erkmodgrk5_6 0 1 @ Inf
_reaction102 1 -> creb 0 1 @ Inf
sf1betacateninpromoter 7 -> __coop0 1 3 @ Inf
pcrebgsk3beta 0 -> __coop0 1 0 @ Inf
pcrebgsk3beta 1 -> __coop0 1 0 @ Inf
pcrebgsk3beta 3 -> __coop0 1 0 @ Inf
mtor 0 -> mtorpip3 3 1 @ Inf
pip3 0 -> mtorpip3 3 2 @ Inf
histone_h3 1 -> histone_h3pkac 1 3 @ Inf
pkac 0 -> histone_h3pkac 1 0 @ Inf
adenylatecyclase 1 -> adenylatecyclasegas_gtp 1 3 @ Inf
gas_gtp 0 -> adenylatecyclasegas_gtp 1 0 @ Inf
hif_1alpha 1 -> hif_1alphamdm2 1 3 @ Inf
mdm2 0 -> hif_1alphamdm2 1 0 @ Inf
mod_1_p85_1_p110appl1_fsh_fshr 0 -> _reaction2 1 0 @ Inf
mod_1_p85_1_p110appl1_fsh_fshr 1 -> _reaction2 1 0 @ Inf
mod_1_p85_1_p110appl1_fsh_fshr 2 -> _reaction2 1 0 @ Inf
foxo3apfoxo1pfoxo3a 0 -> __coop1 0 2 @ Inf
betacatenin_pcreb_promoter_sf1 1 -> __coop1 0 1 @ Inf
adenylatecyclase 0 -> adenylatecyclasegas_gtp 3 1 @ Inf
gas_gtp 0 -> adenylatecyclasegas_gtp 3 2 @ Inf
mod_1_p85_1_p110 1 -> mod_1_p85_1_p110camp_epac 0 2 @ Inf
camp_epac 1 -> mod_1_p85_1_p110camp_epac 0 1 @ Inf
mtorp110_p85 3 -> _reaction119 0 1 @ Inf
foxo3a 0 -> foxo3apfoxo1pfoxo3a 4 0 @ Inf
pfoxo1 1 -> foxo3apfoxo1pfoxo3a 4 6 @ Inf
pfoxo3a 1 -> foxo3apfoxo1pfoxo3a 4 5 @ Inf
p85 1 -> p85p110camp_epac 2 6 @ Inf
p110 0 -> p85p110camp_epac 2 0 @ Inf
camp_epac 1 -> p85p110camp_epac 2 3 @ Inf
p70s6kmtorc1 0 -> _reaction111 1 0 @ Inf
p70s6kmtorc1 1 -> _reaction111 1 0 @ Inf
p70s6kmtorc1 2 -> _reaction111 1 0 @ Inf
gas 0 -> gasgtp 3 1 @ Inf
gtp 0 -> gasgtp 3 2 @ Inf
pkac 0 -> pkaccamp 2 0 @ Inf
camp 1 -> pkaccamp 2 3 @ Inf
p85 0 -> p85p110camp 6 2 @ Inf
p110 0 -> p85p110camp 6 4 @ Inf
camp 1 -> p85p110camp 6 7 @ Inf
_reaction174 1 -> amp 1 0 @ Inf
_reaction35 1 -> praf1 0 1 @ Inf
_reaction40 1 -> praf1 0 1 @ Inf
_reaction77 1 -> praf1 0 1 @ Inf
pip3pten 3 -> _reaction168 0 1 @ Inf
p70s6k 1 -> p70s6kpmtor 0 2 @ Inf
pmtor 1 -> p70s6kpmtor 0 1 @ Inf
_reaction13 1 -> modhif_1alpha 0 1 @ Inf
fsh_fshr 0 -> fsh_fshrgrk_5_6 2 0 @ Inf
